Name,Score,Keyword,Time,Purchase,Text,votes,Helpful_Votes,product_name,Experience
sabhyta kaura,1,One Star,2014-10-02,Y,It did not meet my expectations.,47,4,Panasonic  Digital Camera with 3-Inch LCD,6
Kusumavathi,4,Very pleased so far,2014-10-01,N,"I'm new to this camera and am still learning its features, which are more than I'm accustomed to. Very pleased so far.",2,0,Panasonic  Digital Camera with 3-Inch LCD,5
Mahiuddin,5,Five Stars,2014-09-29,Y,Great camera.  Does what we expected,3,0,Panasonic  Digital Camera with 3-Inch LCD,2
rashi abhishek sharma,1,Panasonic warranty practices are the worst; only covers warranty labor for 90 days,2014-09-28,N,"Beware of warranty practices.  Panasonic warranty is known to be a nightmare =&#62; http://www.consumeraffairs.com/cameras/panasonic.html<br /><br />In particular, they only provide 90 days of labor warranty, and if you submit a warranty claim after 90 days, they may come back with a &#34;labor cost&#34; for the &#34;warranty repair&#34; than the camera originally cost.",21,9,Panasonic  Digital Camera with 3-Inch LCD,1
Amazon Customer,5,Best pocket size camera ever.,2014-09-28,N,"Best pocket size camera ever.  This is a $5000 camera packed in a small package.  Doesn't have all the extra features you don't need and I'll put the quality up against any of them.  I've been a professional photographer fr 43 years and this one is now with me all the time.  Always remember, the best camera is the one you have with you ! !",17,16,Panasonic  Digital Camera with 3-Inch LCD,1
Rajkumari,5,Excellent choice,2014-09-28,Y,I purchased “Panasonic DMC-ZS40S Digital Camera with 3.0-Inch LCD (Silver)” with satisfaction. This intelligent camera has rich functionality and very easy to operate for users.,2,0,Panasonic  Digital Camera with 3-Inch LCD,1
Amazon Customer,5,Very good upgrade,2014-09-28,Y,"Excellent camera, wifi works perfectly, viewfinder is a great upgrade. Very fast shooting, compact a little heavier than previous models.",2,0,Panasonic  Digital Camera with 3-Inch LCD,4
Kakoli,4,Leader of the Point & Shoot Pack,2014-09-25,Y,I just got this camera so haven't had a chance to extensively use it and report on the picture quality yet.  However I am very pleased with everything I've seen so far.  I decided to go with this camera because it had a viewfinder which very few point and shoots offer.  It has many other top of the line features.  The ability to transfer picts from the camera to my ipad and iphone wirelessly is a real bonus.  Setting up the wifi was a little confusing at first.  A 45 minute on line chat with Panasonic support was even more frustrating when it turned out all I had to do was a camera reset. If you are not comfortable working with wifi settings I would suggest you enlist the support of a friend who is.  Bottom line so far though is it's well worth the money.,3,3,Panasonic  Digital Camera with 3-Inch LCD,6
Mona Tuyekar,3,Great Travel camera - but not sure how reliable,2014-09-22,Y,"The camers, whilst it was working was great. It lasted just over 1 week and I am still awaiting its replacement. Light, easy to use and the electronic view finder works very well in bright light conditions. Menu's are easy to follow for the basic functions. Really big manual comes with the camera, I look forward to reading it soon. Great travel camera.",6,4,Panasonic  Digital Camera with 3-Inch LCD,3
Arbin,5,GREAT PIX!,2014-09-22,Y,Got this camera for my artist partner. He's loving it! I have a Panasonic already and he's had an earlier model as well. Great pix!,5,1,Panasonic  Digital Camera with 3-Inch LCD,2
Shameema,5,Great small camera,2014-09-21,Y,Very small handy camera with great performance,3,0,Panasonic  Digital Camera with 3-Inch LCD,2
Amazon Customer,3,I am overwhelmed with camera but was sent wrong color ...,2014-09-21,N,"I am overwhelmed with camera but was sent wrong color. I settled when offered a discount in price but now am unhappy having seen someone with the one I wanted in the first place, should not have settled.",13,3,Panasonic  Digital Camera with 3-Inch LCD,6
Ayush,4,If they wanted a happy customer they would have sent me a replacement camera ...,2014-09-19,N,"I've only been able to use this camera for a few days because the sample I received had two big hunks of dust inside the lens. I didn't notice that until after I had sent in the product registration card so I couldn't return it to the seller or Amazon, which requires returns to be in factory original condition. The dust made itself obvious when I tried shooting towards the sun and got big white blobs in the photos. I sent the camera back to Panasonic a couple of weeks ago and still haven't received it back. I called them and all they could tell me was they were ordering parts for it. If they wanted a happy customer they would have sent me a replacement camera immediately, but that isn't their goal apparently.    That said, in the four days I used my DMC-ZS40K I really liked it. It seemed to be a bit easier to use the manual features than the Canon camera that this is replacing. The 30X zoom is fantastic and I was able to get reasonably sharp photos at maximum zoom with good light and by using a monopod or resting the camera on a steady object. I also found the electronic viewfinder to be helpful in some cases. I would give it five stars if it hadn't been defective or if Panasonic had sent me a replacement quickly.    ----    Update Sept, 26, 2014 - I received my camera properly repaired. They returned it FedEx. I'm now happy other then the delay due to the repair. I used it quite a lot today and again, this is one of the easier to use travel cameras if you want to make use of manual settings. If you typically shoot in fully automatic mode and don't know or care about f stops, shutter speed and ISO values, this camera, though it does have a very capable Intelligent Automatic mode, may be over kill for you. But if you enjoy having creative control over the shooting process, this may be one of the better choices out there.",4,4,Panasonic  Digital Camera with 3-Inch LCD,3
mona,3,I was disappointed by the IQ (Image Quality) at 400 ISO and ...,2014-09-16,N,"I was disappointed by the IQ (Image Quality) at 400 ISO and above. I had high hopes after reading the reviews, alas.<br />Shooting mostly in APS-C format, my expectation may have been too high.<br />The zoom range is nice, but the brightness of the lens starting at f3.3 is not great for indoors.<br />I sent the camera back and instead bought the Sony RX100M3. Twice the price and only a 3x zoom but so much better on IQ, the image sensor is 1 inch, 4 times the size of the 1/2.3&#34; of the Panasonic. And the low light performance with the f1.8-2.8 lens is very good. You can get blurred backgrounds if your subject is close enough to the camera. The bookey is very nice. I like to set the camera in &#34;Manual&#34; mode with the ISO in Automatic. So I get to chose the shutter speed and aperture and the camera picks the ISO. Not sure I would call that &#34;Manual&#34;, but it works great because the camera does quite well up to 1600 ISO. This way you can concentrate on the important settings that determine how your picture looks and let the camera worry about the proper exposure.",6,2,Panasonic  Digital Camera with 3-Inch LCD,2
Bhaskar Das,5,I love this little camera,2014-09-15,N,"I love this little  camera. The pictures are very sharp, the colors very vibrant. The Camera allows a lot of flexibility, in that you can use it automatically or manually",3,1,Panasonic  Digital Camera with 3-Inch LCD,4
Amazon Customer,5,Great camera! Highly recommend,2014-09-14,N,Great camera!  Highly recommend!,3,0,Panasonic  Digital Camera with 3-Inch LCD,4
M S Suresh babu,3,Panasonic no longer updates GPS Places database as of 2012.,2014-09-12,N,"Be aware that in the owner's manual Panasonic states that it will no longer update the GPS Places database as of 2012. Since that's the primary feature I wanted in this camera, and I purchased it in September 2014, I find that disappointing. I hope Panasonic reconsiders that decision. I'll review the camera later. So far, I'm having trouble getting the wifi to work reliably.",5,4,Panasonic  Digital Camera with 3-Inch LCD,2
Adrish Chaudhuri,4,had excellent reviews.,2014-09-11,Y,"Still need to discover it for myself, one of my friend has one and has fabulous features and I wanted same. Needed a more performing zoom than I had with my little Coolpix. One thing I noticed though, is that when I take a picture, then I want to zoom it, it doesn't have the 'degrees' of zooming, just jumps to 2x, 4x... while shooting though it seem to have more variables... Hope it's all I was hoping for, had excellent reviews.",1,1,Panasonic  Digital Camera with 3-Inch LCD,4
Amazon Customer,5,Took amazing pictures!,2014-09-08,Y,Totally worth the price.  Took amazing pictures!,5,2,Panasonic  Digital Camera with 3-Inch LCD,4
sushma,4,Nice camera,2014-09-08,Y,Works fine. Its a lot smarter than me. :o),2,2,Panasonic  Digital Camera with 3-Inch LCD,2
uddhav sudhakar deshmukh,5,None better,2014-09-08,Y,"A great camera at a bargain price. It does what much larger cameras do, weighs about half a pound and fits in my shirt pocket. Who needs to lug around a big camera with a telephoto lens! Not me any more.",4,2,Panasonic  Digital Camera with 3-Inch LCD,4
Manish,5,"Super zoom, good photos, durable",2015-08-27,Y,"I've had this camera for more than a year and I'm very happy with the purchase. I take it with me when I go on walks and use it mostly for wildlife photography. The zoom is great, very handy for getting close shots of everything from whales and seals to geckos and insects. Picture quality is good and the camera has held up well despite getting bounced around a fair amount and subjected to more salt spray than is probably good for it. I'd definitely recommend this camera.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
iftkhar ali,2,Two Stars,2015-08-20,Y,"plastic and cheap feel, digital viewfinder was fuzzy and slow to catch up when moved.",2,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
sandeep kumar,5,and we all love it. Not much it can't do,2015-08-18,Y,"3 of my friends have bought this camera based on my recommendation, and we all love it.  Not much it can't do.  Do yourself a favor and if you buy it, download the free user manual by Graham Houghton.  Awesome.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
Shane CJ,2,the pictures quality is poor. I took my old Kodak camera to the ...,2015-08-17,Y,"I took over 100 pictures on a recent beach vacation.  Almost all pictures were taken in the auto mode.  Unless you are in full sunlight, the pictures quality is poor.  I took my old Kodak camera to the beach as well.  Skin tones are grey and not nearly as sharp as my old Kodak.  From the reviews I read prior to purchasing the Panasonic indicated the auto mode was extremely accurate.  Not so.  And the colors of the pictures on my old Kodak are more vibrant. Really disappointed with my purchase.",2,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Amar Singh,5,He has taken some really fantastic shots.,2015-08-17,Y,This is my son's first real camera and he loves it. He has taken some really fantastic shots.,0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
Divyarajsinh rohitsinh jadeja,5,Ulterior motivation,2015-08-12,Y,Precisely what I needed to replace my older Lumix (also with Leica lens.) It's my fourth Lumix and as each is replaced I give it to one of my granddaughters. That way I get razor sharp pictures of my family.,0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
vijay,5,Five Stars,2015-08-11,Y,Very Well Satisfied.,1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
raju,5,Great high end point and shoot camera!,2015-08-09,Y,"Got this camera for a European trip.  Best camera I have ever owned.  Great zoom, and picture quality, but the feature I like most is the fast picture taking ability (cps).  Never missed a shot!  The auto feature adjusted well for all light conditions and dealt with landscape or people equally well.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
Amazon Customer,5,and it was advertised as being in perfect condition. I received the camera before the estimated ...,2015-07-28,Y,"I bought a used model, actually a display model, and it was advertised as being in perfect condition.  I received the camera before the estimated date.  It was in perfect condition, including the box, original packaging and paperwork.  The price was excellent.  I couldn't be happier.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Amazon Customer,5,An Excellent Camera!!,2015-07-27,Y,An excellent camera -  Well made - great pictures - amazing zoom with clarity -  lots of features.  highly recommend it!,0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
Anandan,5,The picture quality has been great. I recently had a photo of my daughter,2015-07-23,Y,"I have had the camera for more than a year, and I am still finding features to try out.  The picture quality has been great.  I recently had a photo of my daughter, taken with this camera, printed to a 20 x 24 canvas.  It looks great!<br /><br />My only complaint with the camera is that it lacks wi-fi connectivity.  I recently solved that by purchasing micro-USB SD memory card reader.  I can plug the camera's SD card into my phone via the device.  It is one extra step, but I can save the pics I want to cloud storage as long as I have my phone.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
Prafull sinha,1,Truly horrible video performance,2015-07-20,N,"If you are buying this camera for its video capabilities, I strongly suggest you reconsider the purchase. Video shot in anything even approaching low light is a grainy blotchy mess, worse than the cheapest camcorder you can buy. Don't be fooled by the F2.8 lens. Unless you are shooting in bright sunlight, this camera is worthless for video. My limited experience shooting stills with this camera was also disappointing, but I am primarily a videographer, and this camera delivers truly horrible, worthless video.",6,2,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
G Balasubramani,4,Fantastic camera for the price,2015-07-16,Y,"Fantastic camera for the price. Zoom to 24x, burst mode of 12-40 fps, high ISO capability. Control options make actions such as manual focus relatively easy. Leica lense and sensor capability have produced excellent pictures.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
Eswar,5,Very good buy,2015-07-16,Y,It is very attractive and extremely easy to operate. With some minor reading of the operations manual there wasn't no problem with manuvering the device. Very pleased with purchase.,0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
sukanya b,5,Panasonic Lumix DMC-FZ200 takes a prize,2015-07-11,Y,Very exciting use of telephoto and excellent lens quality.,0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Amazon Customer,2,"The FZ200 is a nice camera, but Panasonic support is terrible.",2015-07-08,Y,"I like the camera and it is worth 4+ stars. I have owned several.<br /><br />The problem is support. If the camera should break down, there is no one to talk to at the other end, well it's hard to find someone. Eventually I did and they had me ship it to McCallum, TX.<br /><br />The Texas folks left a message telling me that I have to approve a $181 repair. So, this is my first Panasonic that has broken and needs repair and it is 1/2 of the cost of a new camera. Ok, I guess I can deal with that, but no one answers at the number they left on the voice mail.<br /><br />Panasonic support is not professional. As long as everything is working, you are good, but if not...good luck.",5,4,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
Amazon Customer,4,Lumix FZ200 review: A good camera with a few drawbacks.,2015-06-27,Y,"My thoughts: ++Positive++ &#62;Battery life is good. I can casually shoot (vacation, out and about, etc) during the day and never had run out of battery. I can often get two days worth. &#62;The constant 2.8 aperture is wonderful for getting bright photos even at the tele end. &#62;Sound from video is appreciable. &#62;Slow motion video when you have enough light is great, in my opinion. &#62;Auto-focus is fairly spot on (does not wander too much), from what I have experienced. &#62;600mm max focal length is wonderful! I couldn't ask for more. --Negative-- &#62;Images are pretty soft/blurred at 100% crops of a photo.Not nearly as much detail as I would like. &#62;You cannot zoom, refocus, or record sound during slow motion filming (720p120 or XVGA@240fps; just fine at 1080p60 though). &#62;I thought the lens hood was very difficult to remove/install. &#62;Minimum aperture and shutter speed are not small/quick enough for very bright scenes. Images are sometimes overexposed. &#62;You must take battery out to charge it.  My background; I am an amateur to photography and film. This was my first digital camera purchased other than a GoPro. Despite the cons, I still highly recommend this camera as a first purchase or casual shooting. If you are looking for a camera that has a bright aperture even when shooting at the tele end, that has slow motion filming capabilities, a fairly long max focal length, or versatile, this will be a good camera for you (these are the reasons I selected it, and am happy!)",5,5,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Pooja,5,Five Stars,2015-06-22,Y,Awesome,1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
Vanitha,5,The picture quality is quite good. The 2,2015-06-19,Y,"The picture quality is quite good. The 2.8 constant aperture is nice for dim lighting. It will not supplant my Canon 7d, but is a nice, lightweight travel camera.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
customer,3,Three Stars,2015-06-14,Y,"Even with a lot of work, its just ok",5,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
Amazon Customer,5,Five Stars,2015-06-08,Y,"Very happy with this camera. The quality of pictures is really nice, and I love the manual controls capability.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Abhishek,4,It is great camera but it has a serious problem,2015-06-02,Y,It is great camera but it has a serious problem. Sometimes I get a message saying power off and power on. I have missed very important shots because of this problem. Does other people have a similar problem? It there any fix for it?,1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,1
S C Rajput,5,Five Stars,2015-05-31,Y,Love it. Easy to use and works as advertised.,1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
Beena C S,5,Five Stars,2015-05-30,Y,Very good product.  met my needs.,1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
Suraj,5,Five Stars,2015-05-30,Y,"Excellent, flexible tool.",1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Sangita,5,Great Camera,2015-05-29,Y,So far so good. Love the zoom and the automatic features of it. Set on automatic it determines the type of picture automatically without you having to change any sections. The macro is great.,1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,4
Anam Mariam khan,5,Five Stars,2015-05-22,Y,Great camera. Beats my expectations,1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
noushilachu,5,Bargain Of The Year,2015-05-19,Y,"Almost too good to be true.  I have taken over 100 pictures with this beauty. For 4 X 6 to 8 X 10 prints it is comparable to my Canon T3i and much more portable, with a built in 600 m/m f 2.8 constant aperture Leica lens. Takes great picture with ambient light (Without flash) in most instances. Loaded with useful features too numerous to list.  Movies are better than the T3i because of the higher feet per second filming rate. Sale price of $397.99 made this a deal I couldn't refuse.",1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
monish raj,5,I am getting same model because I liked it.,2015-05-15,Y,"I had it before but I lost Camera, I am getting same model because I liked it.",0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,4
Nilam d.,4,++ Has an excellent zoom lens and fast shooting performance ++,2015-05-13,N,"If you're searching for a long-zoom camera that falls in between a point-and-shoot and digital SLR experience, look no further than the Panasonic Lumix DMC-FZ200.<br /><br />THE GOOD:<br />The Panasonic Lumix DMC-FZ200 has an excellent f2.8 25-600mm zoom lens; fast shooting performance, even when shooting in raw or raw plus JPEG; and excellent picture and video quality for its class. It has a ton of shooting options, including full manual for stills and movies. It also has a hot shoe and an audio input socket.<br /><br />THE BAD:<br />The FZ200 is expensive, especially if all you're after is a long zoom lens. It doesn't have built-in GPS or Wi-Fi, or a proximity sensor for switching from the LCD to EVF. The SD card slot and battery compartment can't be accessed when the camera is on a tripod.<br /><br />A great camera falling just short of an SLR which is why it's still worth comparing on price to something on this Amazon page here: http://amzn.to/1McoD1m",1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
srinivas,5,Five Stars,2015-05-13,Y,LOVE IT,1,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,1
Prema,5,"Excellent advanced bridge camera, fantastic value!",2015-05-12,Y,"Excellent camera! Numerous settings that are actually useful, and make a significant difference (unlike some other cameras I've had, with a zillion settings, that don't do much).  The &#34;Intelligent auto&#34; everything produces very nice pictures, and even these settings can be tweaked for  a better result. Aperture priority, shutter priority, and full manual really let one take control, and produce exactly what one wants. Programmed scene settings burst mode shooting and interesting, fun filters let you be creative right on the camera, without external software. The High Dynamic Range (HDR) setting is particularly useful in getting shots with wide tonal variations (shadows) to come out clear. The real star here is the lens. A crystal clear 25-600 mm equivalent lens, excellent stabilization in both still and video modes. Macro shooting is really interesting. Video is great, really much better than I had anticipated. Very good screen and electronic viewfinder.. The only drawback is not the camera itself, but the very basic printed manual which comes with the camera. Panasonic does include an excellent advanced manual on CD, but this is 220 pages/computer screens long! This really needs to be in print. I printed it out and put it in a binder, now it is usable. Amazon does sell a book written specifically for this camera, which is also very much worth getting, especially if you don't want to print the advanced manual. Overall, a great bridge camera with advanced features, especially for the price.",1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,4
Lakhan,3,"Acceptable 4:3 shots, panoramas are worthless.",2015-05-11,Y,"First, the bad:<br /><br />Panasonic has included features in this camera that are basically unusable; chief among these that I have found so is the so-called 'Panorama Mode.'  The panorama shots on this camera look like colored mud.  They are so low-resolution that no detail of any far-off objects can be discerned in the output.  The panoramas are basically unusable.  They might look okay if you printed them out in wallet size.<br /><br />To put this into some comparison, I have a 5-year old, sub-$150, AA-battery powered, Kodak brand point-and-shoot; a cheapy pocket camera, that produces panorama shots that are easily double or better in fine detail over what this Panasonic can produce.  In this one feature (panoramas) this &#34;bridge camera&#34; is beaten by 5 year old technology that cost 1/3 what this camera did.  If I would have known this camera couldn't actually produce usable panorama shots, I would not have purchased it.  For the record, this should simply not happen.  3 times the cost, 5 years of technology advancement... And somehow Panasonic has managed to go backwards.  Substantially backwards.<br /><br />This camera also produces a level of detail in standard shots that I find to be acceptable; not outstanding or even impressive.  Just... acceptable.  The shots are probably just good enough for an 11x14, that's it.  This camera is not capable of shooting for anything larger.  And don't let people look to closely at the 11x14s, either.<br /><br />The good:<br /><br />The camera is acceptable in low and variable light situations.  The constant focal length is a huge bonus:  This camera will be as light-sensitive at full zoom as it as at no zoom.  You don't have to think about the light, and it is bright enough to zoom?  The poor sensor on this camera is maxed out by the excellent lens that Panasonic chose to pair it with.<br /><br />The shooting modes all seem to work well and produce decent results, except for the panorama exception noted above.<br /><br />The camera is fast:  It takes the picture when you press the button, not after.<br /><br />The HDR mode actually helps to even out scenes with bright sun and heavy shadow, without making your colors look 'fake.'<br /><br />This is a decent bridge camera, as long as you don't care about panorama shots.  If you want to be able to take wide shots of your vacations, though, look elsewhere.<br /><br />Panasonic should have never included a panorama mode if this was how they were going to implement it.",1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,4
Manmohan,4,Researched for close-up work.  Works Great!,2015-05-09,Y,Perfect model for close-up jewelry/crafts photography.,1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,1
Channi Kalra,5,Five Stars,2015-05-08,Y,Excellent all around camera.  Fast lens more than compensates for small sensor. Very flexible.,1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,1
Ishika Dubey,5,An excellent camera. Takes very good photos and I really ...,2015-05-08,Y,An excellent camera. Takes very good photos and I really like the long zoom. I also like having a camera with an eve piece to look through rather than just an lcd screen.,1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
Deepa Roy,5,Great camera,2015-05-05,Y,The zoom is terrific.  Just what I wanted.<br />S.M.,0,0,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,4
Amazon Customer,2,I wanted this camera to take with me on a ...,2015-05-01,Y,"I wanted this camera to take with me on a trip -- a high quality DSLR that was also light.  Sadly, the camera's depth of field was very short, even on high f-stops, so it would not work for travel photos.  I returned it, but have not received a refund yet.",3,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,3
Amazon Customer,5,The Pinnacle of Point and Shoot,2015-04-30,Y,"This is a great camera for my use of it, which is primarily to leave it on auto and shoot away. For photos that will be used on the web or as prints up to 8x10, the whole zoom range can be used without a tripod. Colors are rich and accurate, skin tones flattering, candid &#34;portraits&#34; from across the room terrific with the aperture staying at 2.8 even zoomed way out. Flip out screen is unimportant 90% of the time, but indispensable the other 10%. Size and grip make it easy to use one-handed. The camera is not really small enough to be your &#34;carry everywhere&#34; camera -- try the Panasonic LF1 for that -- but when you do have it with you, the huge zoom and refined automation mean that you can think about the composition and let the camera do the rest.",3,2,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Amazon Customer,5,Five Stars,2015-04-27,Y,This is a great all in one camera that I highly recommend.,1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
ramya,5,Wonderful camera with a  super f/2.8 zoom lens.,2015-04-19,Y,"The zoom lens is fantastic, f/2.8 all the way from 25mm to 600mm.  There are limited f/stops.  f/2.8 to f/8.  I have used the camera now for only a few weeks.  I would rate the lens as very sharp, but not super sharp.  I think that as long as you do not make blow ups above 11x14, you will be happy with the results.  The shutter lag is next to nothing.  Even though the camera offers an exposure up to 3200, above 400 starts to get grainy.  It is very good camera with a few interesting quirks.  It is cross between an instamatic camera and a DLSR. As  a result some of the exposure controls are very convoluted, in my opinion.  The camera has a lot of wonderful features, too many to list here.  One last point, buy a case designed for this camera.  If you read the manual, you will find Panasonic suggests storing the camera on its back side, lens up.",3,3,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,1
lyra,5,NICE PICTURES and FEATURES,2015-04-16,Y,Read many reports on camera before I bought.,1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Tejaswini panwar,5,Amazing camera. I researched multiple cameras before finally buying ...,2015-04-16,Y,"Amazing camera.  I researched multiple cameras before finally buying this one.  Very easy to use, tons of great features, and picture quality is very nice.  I use this many times a week for my work and I have nothing but praise for this camera.",3,3,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Vineet Goswami,4,I was very tempted to buy this model,2015-04-13,N,I was very tempted to buy this model,7,3,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,4
Darshana,5,this is one great camera,2015-04-06,Y,"OK, I will tell you bar none, this is the best camera your ever going to own without spending a major fortune, it's totally impressive with the quality of pictures it takes. all I can say about it is WOW, you have to try it to believe it, seriously, it's that good!",1,1,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,1
Neeraj sharma,5,Panasonic FZ200 Beats Canon SX Series Hands Down!,2015-04-05,Y,"Arrived today, and out of the box I'm impressed with the quality of the camera.  A cursory look at the controls and images through the lens further convinced me that I did very well by getting the FZ200.  Whether there is a difference in performance between assembly in Communist China or Japan, I do feel better about the purchase as it was assembled in Japan.  It may have been old stock that was sold by Ritz Camera through Amazon.  If anyone is wondering and wants to try and purchase a &#34;Made in Japan&#34; model, look for sale by Ritz Camera on Amazon.<br />That aside; I also own a Panasonic ZS20 which has given me excellent results and ideal as a pocket camera.  Owning the ZS20 was part of the reason I considered and purchased the FZ200 for it's quality as well as features.  I have owned a Canon XS10 and recently a Canon XS40 that I was very disappointed with.  I sold the XS40 to B&H Photo through a very good used camera purchase program they have.<br />Further, the Canon XS40 cannot compare to the Panasonic FZ200 in build quality and features.  I'm sold on Panasonic and doubt that I will ever buy another Canon.  But this review is for the FZ200, so I plan to return to this review after operating it for a few months.  Stay tuned.",2,2,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
Amazon Customer,5,BEST all around and travel camera once you KNOW how ...,2015-03-31,Y,"BEST all around and travel camera once you KNOW how to use it. I dont have to carry my Nikon D700 and big lenses,<br /><br />Highly recomennded",2,2,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,2
Aditi,1,You may want to reconsider buying,2015-03-30,N,"Although the FZ200 has had outstanding reviews on the original units built in Japan it is now being produced in China. There has not been a price reduction but, there are many reports of problems that did not exist with the Japanese built units.<br />1. EVF going out of focus and difficult diopter readjustment.<br />2. Higher noise levels from the sensor at lower ISO's possibly due to inferior sensors.<br />3. Poorer resolution from lenses.<br />4. When compared side by the two units show significant differences at factory default settings.<br />This is a case of building a great product with excellent reviews and then switching to a lesser quality build capability.<br />There will be no way to define if your buying a quality Japanese built unit or a Chinese problem laden unit.<br />BUYER BEWARE",14,13,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,6
Jayashree B.,5,Great Bang for the Buck,2015-03-24,Y,"This camera has a lot of bang for the buck, and is a lot closer to a professional camera than its predecessors.  The view screen is tiltable which makes it nice for photographing down low objects without crawling around on your stomach.  It's definitely not an Nikon, but it sure weighs a lot less, if far less expensive,  and has the one single lens to cover from macro through 24x.  In many hiking or travel situations I would prefer this camera to my Nikon system, simply for the ease of use and there's less to haul around. The lower light capabilities of this camera are lacking but probably best in its class.",3,3,Panasonic Lumix 12.1 MP Digital Camera with CMOS Sensor and 24x Optical Zoom - Black,5
